Date,Open,High,Low,Close,Adj Close,Volume
2022-04-28,3.86,3.86,3.86,3.86,3.86,0
2022-04-29,6.5,7.8,5.25,5.35,5.35,464246300
2022-05-03,5.4,5.5,4.38,4.44,4.44,66192100
2022-05-05,4.42,5.6,4.38,4.94,4.94,256765900
2022-05-06,4.84,6.4,4.18,4.18,4.18,330538200
2022-05-09,4.44,4.96,4.38,4.44,4.44,189542600
2022-05-10,4.8,4.9,4.54,4.8,4.8,109698800
2022-05-11,4.74,4.76,4.54,4.6,4.6,55776200
2022-05-12,4.5,4.58,4.16,4.22,4.22,22993500
2022-05-13,4.3,4.62,4.22,4.24,4.24,52289500
2022-05-17,4.32,4.48,4.28,4.46,4.46,33051300
2022-05-18,4.6,5.2,4.6,5.1,5.1,159061500
2022-05-19,4.92,5.85,4.86,5.7,5.7,148012200
2022-05-20,5.6,5.9,5.0,5.2,5.2,101030400
2022-05-23,5.35,5.55,5.2,5.55,5.55,32480305
2022-05-24,5.65,5.7,5.15,5.3,5.3,28609156
2022-05-25,5.35,5.75,5.3,5.6,5.6,42185762
2022-05-26,5.55,5.85,5.5,5.55,5.55,41694973
2022-05-27,5.65,5.8,5.5,5.65,5.65,30801171
2022-05-30,5.7,5.9,5.6,5.7,5.7,40855961
2022-05-31,5.7,5.75,5.45,5.55,5.55,17119106
2022-06-01,5.55,5.55,5.15,5.2,5.2,17732353
2022-06-02,5.1,5.2,4.94,5.0,5.0,17909290
2022-06-06,5.05,5.25,5.0,5.25,5.25,9673112
2022-06-07,5.2,5.25,5.1,5.15,5.15,4910213
2022-06-08,5.2,5.25,5.15,5.2,5.2,4662417
2022-06-09,5.15,5.2,5.0,5.05,5.05,2940159
2022-06-10,5.0,5.05,4.86,4.92,4.92,6591144
2022-06-13,4.7,4.82,4.62,4.62,4.62,6698808
2022-06-14,4.74,4.88,4.6,4.76,4.76,7919740
2022-06-15,4.78,4.8,4.6,4.64,4.64,4248043
2022-06-16,4.74,4.76,4.5,4.5,4.5,3730117
2022-06-17,4.5,4.62,4.42,4.56,4.56,3024804
2022-06-20,4.62,5.2,4.58,5.15,5.15,34631720
2022-06-21,5.15,5.4,5.05,5.25,5.25,18873758
2022-06-22,5.25,5.45,5.05,5.25,5.25,16299686
2022-06-23,5.35,5.6,5.3,5.35,5.35,18963492
2022-06-24,5.4,5.4,5.2,5.25,5.25,5120067
2022-06-27,5.35,5.5,5.25,5.4,5.4,7247691
2022-06-28,5.35,5.4,5.0,5.3,5.3,8827024
2022-06-29,5.25,5.3,5.1,5.15,5.15,2868409
2022-06-30,5.2,5.2,4.76,4.78,4.78,9207013
2022-07-01,4.78,4.94,4.76,4.8,4.8,6275163
2022-07-04,4.8,4.82,4.58,4.58,4.58,3298618
2022-07-05,4.66,4.66,4.26,4.34,4.34,3679879
2022-07-06,4.3,4.5,4.3,4.38,4.38,2684735
2022-07-07,4.42,4.72,4.42,4.6,4.6,5834231
2022-07-08,4.6,4.68,4.38,4.4,4.4,3433730
2022-07-11,4.38,4.42,4.3,4.32,4.32,1971483
2022-07-12,4.32,4.4,4.28,4.32,4.32,1326557
2022-07-14,4.32,4.4,4.26,4.3,4.3,1248815
2022-07-15,4.34,4.38,4.18,4.26,4.26,1624324
2022-07-18,4.32,4.6,4.28,4.44,4.44,3576210
2022-07-19,4.4,4.5,4.26,4.4,4.4,1634620
