Date,Open,High,Low,Close,Adj Close,Volume
2020-09-23,1.58,1.69,1.57,1.64,1.64,20748600
2020-09-24,1.64,1.66,1.6,1.61,1.61,7019400
2020-09-25,1.64,1.64,1.59,1.6,1.6,2460100
2020-09-28,1.6,1.62,1.59,1.61,1.61,1170400
2020-09-29,1.62,1.62,1.6,1.61,1.61,828000
2020-09-30,1.62,1.62,1.59,1.6,1.6,2717600
2020-10-01,1.6,1.61,1.59,1.6,1.6,557800
2020-10-02,1.61,1.69,1.6,1.64,1.64,15890300
2020-10-05,1.66,1.67,1.64,1.66,1.66,4083500
2020-10-06,1.67,1.78,1.67,1.77,1.77,25169700
2020-10-07,1.77,1.79,1.76,1.79,1.79,7467800
2020-10-08,1.8,1.8,1.76,1.76,1.76,7046600
2020-10-09,1.77,1.77,1.74,1.77,1.77,3726500
2020-10-12,1.78,1.82,1.78,1.81,1.81,8679900
2020-10-14,1.81,1.83,1.78,1.8,1.8,4486900
2020-10-15,1.81,1.81,1.74,1.76,1.76,8819600
2020-10-16,1.78,1.78,1.73,1.75,1.75,2769000
2020-10-19,1.73,1.73,1.64,1.65,1.65,9953900
2020-10-20,1.65,1.67,1.62,1.64,1.64,3672700
2020-10-21,1.66,1.66,1.63,1.64,1.64,1340100
2020-10-22,1.64,1.64,1.59,1.61,1.61,4128600
2020-10-26,1.61,1.62,1.56,1.58,1.58,2842400
2020-10-27,1.57,1.58,1.56,1.58,1.58,1487000
2020-10-28,1.57,1.57,1.55,1.56,1.56,5270500
2020-10-29,1.55,1.55,1.5,1.53,1.53,3344200
2020-10-30,1.53,1.53,1.51,1.53,1.53,1452100
2020-11-02,1.53,1.54,1.51,1.53,1.53,1260700
2020-11-03,1.53,1.56,1.53,1.55,1.55,1809000
2020-11-04,1.55,1.56,1.53,1.53,1.53,1579100
2020-11-05,1.54,1.57,1.54,1.56,1.56,2332500
2020-11-06,1.57,1.58,1.55,1.55,1.55,3768800
2020-11-09,1.56,1.6,1.56,1.59,1.59,12630700
2020-11-10,1.6,1.61,1.55,1.59,1.59,5269800
2020-11-11,1.6,1.62,1.58,1.58,1.58,4082900
2020-11-12,1.59,1.64,1.58,1.62,1.62,11883300
2020-11-13,1.62,1.63,1.6,1.63,1.63,2826500
2020-11-16,1.63,1.74,1.62,1.73,1.73,20596800
2020-11-17,1.75,1.75,1.72,1.73,1.73,11804200
2020-11-18,1.75,1.75,1.7,1.72,1.72,1637000
2020-11-19,1.74,1.74,1.71,1.72,1.72,4214200
2020-11-20,1.72,1.75,1.72,1.74,1.74,3353400
2020-11-23,1.75,1.77,1.73,1.76,1.76,3192200
2020-11-24,1.77,1.97,1.75,1.91,1.91,53911800
2020-11-25,1.91,1.95,1.87,1.9,1.9,21184200
2020-11-26,1.92,1.92,1.9,1.91,1.91,4645200
2020-11-27,1.91,1.98,1.9,1.93,1.93,25963200
2020-11-30,1.93,1.93,1.89,1.9,1.9,6000500
2020-12-01,1.9,1.98,1.9,1.96,1.96,15747100
2020-12-02,1.97,1.98,1.94,1.96,1.96,13854200
2020-12-03,1.95,2.0,1.95,1.97,1.97,17760100
2020-12-04,1.98,2.02,1.97,1.98,1.98,26100700
2020-12-08,1.98,2.0,1.96,2.0,2.0,9825200
2020-12-09,2.0,2.0,1.96,1.99,1.99,7687300
2020-12-14,1.99,1.99,1.95,1.98,1.98,6508400
2020-12-15,1.97,1.98,1.93,1.98,1.98,5259200
2020-12-16,1.98,1.99,1.96,1.99,1.99,8253200
2020-12-17,1.99,2.04,1.98,2.0,2.0,18948700
2020-12-18,2.04,2.04,1.95,1.96,1.96,16501300
2020-12-21,1.9,1.9,1.78,1.78,1.78,19496300
2020-12-22,1.75,1.88,1.75,1.82,1.82,30794400
2020-12-23,1.79,1.81,1.76,1.77,1.77,12312800
2020-12-24,1.77,1.82,1.76,1.79,1.79,9553100
2020-12-25,1.79,1.8,1.78,1.8,1.8,9021000
2020-12-28,1.79,1.82,1.77,1.77,1.77,9461700
2020-12-29,1.78,1.8,1.77,1.77,1.77,6195000
2020-12-30,1.77,1.78,1.74,1.78,1.78,9075100
2021-01-04,1.75,1.77,1.74,1.76,1.76,7447000
2021-01-05,1.79,1.79,1.75,1.77,1.77,7939500
2021-01-06,1.77,1.8,1.76,1.76,1.76,19350800
2021-01-07,1.77,1.8,1.76,1.77,1.77,7949400
2021-01-08,1.79,1.79,1.75,1.76,1.76,7538300
2021-01-11,1.77,1.78,1.75,1.76,1.76,7130100
2021-01-12,1.77,1.77,1.74,1.76,1.76,7522500
2021-01-13,1.76,1.79,1.76,1.77,1.77,8068900
2021-01-14,1.77,1.8,1.77,1.78,1.78,10292100
2021-01-15,1.78,1.8,1.77,1.78,1.78,4869600
2021-01-18,1.77,1.78,1.76,1.77,1.77,5530200
2021-01-19,1.77,1.79,1.76,1.77,1.77,10001200
2021-01-20,1.77,1.85,1.77,1.83,1.83,27906000
2021-01-21,1.85,1.85,1.82,1.82,1.82,11093000
2021-01-22,1.82,1.83,1.78,1.79,1.79,9708100
2021-01-25,1.79,1.8,1.77,1.79,1.79,6579900
2021-01-26,1.79,1.8,1.78,1.79,1.79,6394600
2021-01-27,1.79,1.82,1.79,1.8,1.8,10150200
2021-01-28,1.8,1.8,1.76,1.76,1.76,10297200
2021-01-29,1.77,1.78,1.75,1.76,1.76,5476200
2021-02-01,1.76,1.78,1.75,1.76,1.76,4929600
2021-02-02,1.77,1.8,1.76,1.77,1.77,7558800
2021-02-03,1.77,1.79,1.76,1.77,1.77,3103000
2021-02-04,1.77,1.81,1.76,1.8,1.8,16334900
2021-02-05,1.81,1.82,1.79,1.79,1.79,10034500
2021-02-08,1.8,1.81,1.79,1.8,1.8,3227900
2021-02-09,1.81,1.81,1.79,1.79,1.79,4925000
2021-02-10,1.79,1.8,1.78,1.79,1.79,6048800
2021-02-11,1.79,1.79,1.77,1.79,1.79,5555300
2021-02-15,1.79,1.8,1.78,1.78,1.78,4011500
2021-02-16,1.79,1.79,1.77,1.79,1.79,3965600
2021-02-17,1.79,1.79,1.77,1.78,1.78,1760500
2021-02-18,1.78,1.78,1.74,1.74,1.74,4847000
2021-02-19,1.73,1.73,1.71,1.71,1.71,7691500
2021-02-22,1.71,1.71,1.66,1.67,1.67,11312000
2021-02-23,1.67,1.7,1.67,1.69,1.69,1963800
2021-02-24,1.7,1.7,1.67,1.68,1.68,2184800
2021-02-25,1.68,1.68,1.66,1.67,1.67,9255200
2021-03-01,1.66,1.67,1.64,1.67,1.67,3864900
2021-03-02,1.66,1.68,1.65,1.68,1.68,2858800
2021-03-03,1.69,1.69,1.66,1.68,1.68,2276000
2021-03-04,1.68,1.69,1.68,1.69,1.69,1919800
2021-03-05,1.69,1.72,1.68,1.69,1.69,3147600
2021-03-08,1.71,1.71,1.66,1.67,1.67,4397900
2021-03-09,1.68,1.68,1.65,1.66,1.66,5324400
2021-03-10,1.66,1.68,1.65,1.66,1.66,6945400
2021-03-11,1.66,1.69,1.63,1.66,1.66,10181900
2021-03-12,1.67,1.68,1.66,1.68,1.68,2676400
2021-03-15,1.69,1.71,1.69,1.7,1.7,3771300
2021-03-16,1.71,1.71,1.69,1.71,1.71,4393900
2021-03-17,1.71,1.71,1.66,1.7,1.7,8036200
2021-03-18,1.7,1.7,1.68,1.69,1.69,3137100
2021-03-19,1.69,1.69,1.66,1.68,1.68,6499100
2021-03-22,1.68,1.71,1.66,1.68,1.68,8290200
2021-03-23,1.69,1.78,1.68,1.78,1.78,31411400
2021-03-24,1.79,1.81,1.74,1.76,1.76,30685300
2021-03-25,1.76,1.78,1.74,1.74,1.74,15226900
2021-03-26,1.75,1.84,1.74,1.79,1.79,60820000
2021-03-29,1.8,1.93,1.79,1.93,1.93,110138800
2021-03-30,1.91,1.92,1.87,1.88,1.88,41904800
2021-03-31,1.9,1.92,1.88,1.88,1.88,16363700
