Date,Open,High,Low,Close,Adj Close,Volume
2020-09-23,2.44,2.48,2.4,2.44,2.44,2943700
2020-09-24,2.42,2.48,2.4,2.42,2.42,2315500
2020-09-25,2.46,2.7,2.44,2.66,2.66,42399700
2020-09-28,2.72,2.76,2.64,2.66,2.66,21457400
2020-09-29,2.66,2.7,2.62,2.62,2.62,6520300
2020-09-30,2.62,2.78,2.6,2.78,2.78,13251300
2020-10-01,2.82,2.84,2.7,2.74,2.74,11626700
2020-10-02,2.74,2.78,2.7,2.72,2.72,4836300
2020-10-05,2.74,2.78,2.68,2.68,2.68,5181600
2020-10-06,2.68,2.76,2.62,2.64,2.64,7000500
2020-10-07,2.64,2.72,2.64,2.68,2.68,4375500
2020-10-08,2.68,2.74,2.66,2.66,2.66,4843400
2020-10-09,2.66,2.7,2.56,2.6,2.6,4094200
2020-10-12,2.62,2.72,2.48,2.68,2.68,11969900
2020-10-14,2.68,2.86,2.68,2.84,2.84,20779500
2020-10-15,2.82,2.9,2.62,2.64,2.64,12294700
2020-10-16,2.64,2.7,2.46,2.52,2.52,5154400
2020-10-19,2.46,2.5,2.34,2.36,2.36,4622400
2020-10-20,2.32,2.48,2.32,2.44,2.44,3874500
2020-10-21,2.48,2.5,2.42,2.42,2.42,2432500
2020-10-22,2.4,2.46,2.38,2.42,2.42,1846700
2020-10-26,2.46,2.48,2.44,2.44,2.44,1041100
2020-10-27,2.44,2.46,2.42,2.42,2.42,1036600
2020-10-28,2.4,2.5,2.4,2.44,2.44,2451500
2020-10-29,2.44,2.52,2.4,2.44,2.44,3471200
2020-10-30,2.48,2.54,2.44,2.46,2.46,2161900
2020-11-02,2.5,2.54,2.46,2.54,2.54,1216300
2020-11-03,2.54,2.58,2.5,2.54,2.54,1762700
2020-11-04,2.56,2.62,2.56,2.58,2.58,2780600
2020-11-05,2.6,2.66,2.58,2.62,2.62,1720100
2020-11-06,2.64,2.66,2.54,2.56,2.56,2681600
2020-11-09,2.58,2.62,2.42,2.44,2.44,1726400
2020-11-10,2.46,2.46,2.26,2.3,2.3,3091500
2020-11-11,2.26,2.4,2.26,2.34,2.34,721400
2020-11-12,2.36,2.4,2.34,2.36,2.36,384000
2020-11-13,2.38,2.38,2.26,2.28,2.28,1237500
2020-11-16,2.24,2.26,2.14,2.22,2.22,4734800
2020-11-17,2.24,2.24,2.16,2.18,2.18,2605300
2020-11-18,2.2,2.22,2.16,2.18,2.18,1116200
2020-11-19,2.2,2.3,2.2,2.24,2.24,1896700
2020-11-20,2.26,2.28,2.22,2.22,2.22,503800
2020-11-23,2.28,2.28,2.24,2.26,2.26,772400
2020-11-24,2.24,2.28,2.22,2.22,2.22,430600
2020-11-25,2.24,2.32,2.24,2.26,2.26,1413900
2020-11-26,2.28,2.28,2.22,2.22,2.22,814200
2020-11-27,2.24,2.28,2.2,2.24,2.24,1431300
2020-11-30,2.26,2.26,2.2,2.22,2.22,766000
2020-12-01,2.22,2.3,2.22,2.28,2.28,2595900
2020-12-02,2.3,2.34,2.24,2.24,2.24,2004200
