Date,Open,High,Low,Close,Adj Close,Volume
2021-12-08,0.77,0.92,0.77,0.92,0.92,105251400
2021-12-09,0.94,0.99,0.88,0.9,0.9,60962100
2021-12-13,0.93,0.93,0.85,0.89,0.89,10306100
2021-12-14,0.89,0.89,0.81,0.82,0.82,4110000
2021-12-15,0.81,0.86,0.77,0.83,0.83,12158300
2021-12-16,0.83,0.85,0.8,0.82,0.82,3451800
2021-12-17,0.82,0.86,0.78,0.83,0.83,9991600
2021-12-20,0.81,0.82,0.76,0.79,0.79,3601100
2021-12-21,0.78,0.8,0.76,0.77,0.77,2748100
2021-12-22,0.76,0.78,0.73,0.73,0.73,4249400
2021-12-23,0.72,0.72,0.66,0.67,0.67,11254100
2021-12-24,0.66,0.68,0.64,0.66,0.66,4097100
2021-12-27,0.65,0.67,0.62,0.65,0.65,2403600
2021-12-28,0.63,0.67,0.63,0.64,0.64,2127700
2021-12-29,0.64,0.66,0.64,0.65,0.65,1650200
2021-12-30,0.64,0.65,0.64,0.65,0.65,899100
2022-01-04,0.65,0.76,0.65,0.75,0.75,18838500
2022-01-05,0.76,0.79,0.72,0.75,0.75,9720100
2022-01-06,0.75,0.75,0.72,0.72,0.72,2793100
2022-01-07,0.72,0.74,0.71,0.73,0.73,3387400
2022-01-10,0.72,0.72,0.69,0.69,0.69,4146700
2022-01-11,0.57,0.72,0.55,0.69,0.69,71172000
2022-01-12,0.69,0.71,0.67,0.69,0.69,14753800
2022-01-13,0.69,0.71,0.67,0.7,0.7,9178500
2022-01-14,0.71,0.71,0.68,0.69,0.69,6744000
2022-01-17,0.7,0.7,0.67,0.69,0.69,2724500
2022-01-18,0.68,0.7,0.67,0.68,0.68,4868800
2022-01-19,0.68,0.69,0.66,0.68,0.68,8400200
2022-01-20,0.68,0.68,0.66,0.67,0.67,3527000
2022-01-21,0.67,0.67,0.65,0.66,0.66,6921100
2022-01-24,0.66,0.66,0.62,0.64,0.64,14250000
2022-01-25,0.64,0.65,0.62,0.64,0.64,6067000
2022-01-26,0.64,0.68,0.62,0.62,0.62,13260500
2022-01-27,0.62,0.62,0.56,0.6,0.6,11708600
2022-01-28,0.6,0.63,0.59,0.62,0.62,2075700
2022-01-31,0.63,0.64,0.6,0.62,0.62,12513600
2022-02-01,0.62,0.65,0.6,0.61,0.61,26869800
2022-02-02,0.61,0.63,0.59,0.59,0.59,35572100
2022-02-03,0.56,0.59,0.54,0.59,0.59,29757000
2022-02-04,0.57,0.59,0.56,0.58,0.58,9649300
2022-02-07,0.57,0.58,0.56,0.57,0.57,3241400
2022-02-08,0.57,0.58,0.56,0.58,0.58,6041200
2022-02-09,0.58,0.58,0.56,0.57,0.57,4582000
2022-02-10,0.57,0.57,0.55,0.56,0.56,5431800
2022-02-11,0.56,0.56,0.54,0.55,0.55,3782900
2022-02-14,0.56,0.57,0.55,0.57,0.57,7402100
2022-02-15,0.57,0.57,0.55,0.57,0.57,5081200
2022-02-17,0.56,0.57,0.55,0.55,0.55,6793400
2022-02-18,0.55,0.57,0.54,0.55,0.55,6498500
2022-02-21,0.55,0.57,0.55,0.55,0.55,4441000
2022-02-22,0.56,0.57,0.54,0.56,0.56,7490600
2022-02-23,0.55,0.56,0.54,0.54,0.54,3178800
2022-02-24,0.54,0.56,0.5,0.51,0.51,16982500
2022-02-25,0.54,0.55,0.53,0.54,0.54,6367400
2022-02-28,0.52,0.57,0.52,0.54,0.54,21384500
2022-03-01,0.63,0.7,0.59,0.7,0.7,205932600
2022-03-02,0.72,0.86,0.7,0.74,0.74,864402000
2022-03-03,0.76,0.77,0.66,0.67,0.67,165391000
2022-03-04,0.66,0.77,0.64,0.75,0.75,409935500
2022-03-07,0.75,0.75,0.66,0.69,0.69,176196400
2022-03-08,0.68,0.89,0.67,0.89,0.89,427716700
2022-03-09,0.95,0.99,0.86,0.93,0.93,956097100
2022-03-10,0.9,1.19,0.88,1.11,1.11,823420500
2022-03-11,1.11,1.38,1.09,1.25,1.25,1851679500
2022-03-14,1.31,1.36,1.24,1.25,1.25,621376700
2022-03-15,1.22,1.29,1.12,1.17,1.17,454160700
