Date,Open,High,Low,Close,Adj Close,Volume
2022-02-14,3.5,3.5,3.5,3.5,3.5,0
2022-02-15,6.75,6.85,4.32,4.42,4.42,555454900
2022-02-17,4.52,4.72,4.34,4.68,4.68,147890400
2022-02-18,4.74,5.35,4.6,5.3,5.3,255379100
2022-02-21,5.1,5.15,4.32,4.32,4.32,120733300
2022-02-22,4.36,4.54,4.36,4.4,4.4,35244300
2022-02-23,4.46,4.52,4.02,4.04,4.04,42145800
2022-02-24,4.0,4.02,3.78,3.78,3.78,18092400
2022-02-25,3.94,4.04,3.86,3.94,3.94,19217900
2022-02-28,3.92,3.96,3.82,3.82,3.82,6225300
2022-03-01,3.88,4.1,3.88,4.0,4.0,15458800
2022-03-02,3.98,4.14,3.92,3.96,3.96,25496800
2022-03-03,4.0,4.04,3.84,3.9,3.9,7103300
2022-03-04,3.9,4.0,3.86,3.88,3.88,6572800
2022-03-07,3.84,3.88,3.42,3.56,3.56,11174700
2022-03-08,3.56,3.6,3.32,3.44,3.44,7226700
2022-03-09,3.5,3.62,3.44,3.54,3.54,11683300
2022-03-10,3.56,3.72,3.54,3.66,3.66,10222800
2022-03-11,3.64,3.72,3.6,3.66,3.66,5070600
2022-03-14,3.66,3.76,3.66,3.7,3.7,6686400
2022-03-15,3.64,3.64,3.54,3.54,3.54,3121100
2022-03-16,3.6,3.62,3.54,3.56,3.56,1544300
2022-03-17,3.58,3.68,3.58,3.6,3.6,2742200
2022-03-18,3.64,3.7,3.56,3.56,3.56,4479100
2022-03-21,3.6,3.64,3.54,3.54,3.54,3056400
2022-03-22,3.54,3.6,3.5,3.5,3.5,2809400
2022-03-23,3.54,3.64,3.52,3.54,3.54,6433600
2022-03-24,3.56,4.06,3.52,3.88,3.88,93971800
2022-03-25,3.84,3.98,3.78,3.78,3.78,28633200
2022-03-28,3.8,4.0,3.8,3.94,3.94,37179600
2022-03-29,3.92,4.14,3.84,3.86,3.86,49449900
2022-03-30,3.9,3.96,3.86,3.86,3.86,11242900
2022-03-31,3.9,3.96,3.86,3.86,3.86,8772000
2022-04-01,3.88,4.02,3.86,3.92,3.92,20988900
2022-04-04,3.94,4.46,3.94,4.24,4.24,167661500
2022-04-05,4.26,4.38,4.12,4.12,4.12,41736000
2022-04-07,4.1,4.22,4.04,4.12,4.12,16505400
2022-04-08,4.22,4.58,4.2,4.46,4.46,245867200
2022-04-11,4.5,4.6,4.3,4.3,4.3,100541100
2022-04-12,4.26,4.38,4.16,4.34,4.34,20583600
2022-04-18,4.34,4.52,4.3,4.38,4.38,50894900
2022-04-19,4.42,4.72,4.32,4.72,4.72,164824900
2022-04-20,4.98,4.98,4.5,4.5,4.5,116013500
2022-04-21,4.58,4.74,4.54,4.72,4.72,46473600
2022-04-22,4.64,4.68,4.54,4.56,4.56,23221000
2022-04-25,4.42,4.5,4.36,4.38,4.38,15844800
2022-04-26,4.48,4.48,4.26,4.26,4.26,11895900
2022-04-27,4.24,4.32,4.06,4.1,4.1,15041000
2022-04-28,4.14,4.32,4.12,4.26,4.26,20075000
2022-04-29,4.26,4.36,4.22,4.22,4.22,10033400
2022-05-03,4.22,4.34,3.94,4.02,4.02,20025500
2022-05-05,4.1,4.16,3.94,3.94,3.94,10183800
2022-05-06,3.9,3.92,3.8,3.8,3.8,8698100
2022-05-09,3.8,3.9,3.64,3.64,3.64,8358700
2022-05-10,3.58,3.74,3.56,3.68,3.68,7828600
2022-05-11,3.7,3.76,3.56,3.56,3.56,5605400
2022-05-12,3.58,3.7,3.54,3.56,3.56,9401300
2022-05-13,3.62,3.66,3.56,3.56,3.56,3963800
2022-05-17,3.62,3.76,3.6,3.68,3.68,8270800
2022-05-18,3.72,3.94,3.68,3.94,3.94,27977200
2022-05-19,3.82,3.98,3.82,3.88,3.88,20695000
2022-05-20,3.92,4.12,3.92,3.92,3.92,29904900
2022-05-23,3.96,4.0,3.88,3.92,3.92,10047291
2022-05-24,3.94,4.02,3.92,3.94,3.94,6662905
2022-05-25,3.96,4.02,3.9,3.92,3.92,6986917
2022-05-26,3.96,4.1,3.92,4.08,4.08,25983490
2022-05-27,4.08,4.12,3.98,3.98,3.98,30351457
2022-05-30,4.0,4.04,3.98,3.98,3.98,4721150
2022-05-31,4.0,4.04,3.94,3.98,3.98,7900450
