Date,Open,High,Low,Close,Adj Close,Volume
2022-04-29,0.95,0.95,0.93,0.93,0.93,32646100.0
2022-05-03,0.93,0.93,0.88,0.88,0.88,89453600.0
2022-05-05,0.93,0.93,0.88,0.88,0.88,55276400.0
2022-05-06,0.84,0.86,0.83,0.85,0.85,68784100.0
2022-05-09,0.81,0.82,0.76,0.76,0.76,117707000.0
2022-05-10,0.73,0.8,0.73,0.79,0.79,61020400.0
2022-05-11,0.79,0.79,0.74,0.76,0.76,58030300.0
2022-05-12,0.73,0.73,0.67,0.67,0.67,118711700.0
2022-05-13,0.69,0.71,0.68,0.71,0.71,77171300.0
2022-05-17,0.72,0.73,0.7,0.72,0.72,25808800.0
2022-05-18,0.73,0.74,0.71,0.71,0.71,31020800.0
2022-05-19,0.69,0.71,0.68,0.69,0.69,27071900.0
2022-05-20,0.7,0.72,0.7,0.71,0.71,22978500.0
2022-05-23,0.71,0.73,0.71,0.72,0.72,24522053.0
2022-05-24,0.72,0.73,0.71,0.71,0.71,24205673.0
2022-05-25,0.7,0.72,0.68,0.69,0.69,80127552.0
2022-05-26,0.7,0.71,0.69,0.7,0.7,17134625.0
2022-05-27,0.7,0.7,0.68,0.69,0.69,34631634.0
2022-05-30,0.7,0.73,0.69,0.72,0.72,71671817.0
2022-05-31,0.73,0.73,0.71,0.71,0.71,33198492.0
2022-06-01,0.72,0.72,0.7,0.71,0.71,26610951.0
2022-06-02,0.7,0.71,0.69,0.7,0.7,22516222.0
2022-06-06,0.71,0.72,0.69,0.71,0.71,44348014.0
2022-06-07,0.7,0.7,0.68,0.69,0.69,56362528.0
2022-06-08,0.7,0.7,0.68,0.68,0.68,21155145.0
2022-06-09,0.69,0.7,0.68,0.69,0.69,27969709.0
2022-06-10,0.69,0.7,0.68,0.68,0.68,13966936.0
2022-06-13,0.65,0.65,0.62,0.62,0.62,73717574.0
2022-06-14,0.57,0.61,0.57,0.59,0.59,85744116.0
2022-06-15,0.6,0.62,0.59,0.59,0.59,37189045.0
2022-06-16,0.61,0.62,0.58,0.58,0.58,40990659.0
2022-06-17,0.57,0.59,0.57,0.58,0.58,33653131.0
2022-06-20,0.57,0.58,0.54,0.55,0.55,55649330.0
2022-06-21,0.56,0.62,0.56,0.6,0.6,119437981.0
2022-06-22,0.6,0.61,0.55,0.55,0.55,73676125.0
2022-06-23,0.56,0.57,0.55,0.55,0.55,32553071.0
2022-06-24,0.57,0.58,0.56,0.57,0.57,23468485.0
2022-06-27,0.57,0.59,0.56,0.58,0.58,31828231.0
2022-06-28,0.57,0.6,0.57,0.59,0.59,20008390.0
2022-06-29,0.58,0.59,0.57,0.58,0.58,17573478.0
2022-06-30,0.58,0.59,0.56,0.56,0.56,35323285.0
2022-07-01,0.56,0.58,0.55,0.56,0.56,19017480.0
2022-07-04,0.56,0.57,0.54,0.54,0.54,24648148.0
2022-07-05,0.55,0.57,0.53,0.53,0.53,38684004.0
2022-07-06,0.53,0.53,0.5,0.51,0.51,41633786.0
2022-07-07,0.52,0.54,0.51,0.53,0.53,21184823.0
2022-07-08,0.55,0.56,0.53,0.54,0.54,23654146.0
2022-07-11,0.53,0.54,0.52,0.52,0.52,9959639.0
2022-07-12,0.52,0.53,0.51,0.52,0.52,7140260.0
2022-07-14,0.51,0.53,0.51,0.52,0.52,9466555.0
2022-07-15,0.52,0.53,0.51,0.51,0.51,13271832.0
2022-07-18,0.52,0.56,0.51,0.54,0.54,78858916.0
2022-07-19,0.55,0.55,0.52,0.53,0.53,20703348.0
2022-07-20,0.55,0.58,0.55,0.56,0.56,43965252.0
2022-07-21,0.54,0.55,0.53,0.54,0.54,33679726.0
2022-07-22,0.54,0.55,0.53,0.54,0.54,19295689.0
2022-07-25,0.53,0.54,0.52,0.53,0.53,16154984.0
2022-07-26,0.52,0.54,0.52,0.52,0.52,7259727.0
2022-07-27,0.52,0.53,0.52,0.52,0.52,11746015.0
2022-08-01,0.54,0.57,0.53,0.55,0.55,59177988.0
