Date,Open,High,Low,Close,Adj Close,Volume
2020-09-18,0.92,0.92,0.9,0.91,0.91,29800
2020-09-21,0.9,0.91,0.89,0.9,0.9,101600
2020-09-22,0.89,0.89,0.88,0.88,0.88,48200
2020-09-23,0.88,0.89,0.87,0.88,0.88,110200
2020-09-24,0.87,0.88,0.86,0.88,0.88,132900
2020-09-25,0.89,0.89,0.88,0.88,0.88,23100
2020-09-28,0.88,0.88,0.87,0.88,0.88,6500
2020-09-29,0.87,0.89,0.87,0.88,0.88,2900
2020-09-30,0.88,0.89,0.88,0.88,0.88,5800
2020-10-01,0.88,0.89,0.86,0.89,0.89,24400
2020-10-02,0.89,0.89,0.89,0.89,0.89,24200
2020-10-05,0.89,0.89,0.88,0.89,0.89,21500
2020-10-06,0.89,0.89,0.88,0.89,0.89,76600
2020-10-07,0.89,0.9,0.89,0.9,0.9,5200
2020-10-08,0.9,0.94,0.9,0.94,0.94,299900
2020-10-09,0.94,0.94,0.91,0.94,0.94,205500
2020-10-12,0.92,0.94,0.9,0.93,0.93,38400
2020-10-14,0.94,0.95,0.89,0.89,0.89,167000
2020-10-15,0.87,0.9,0.87,0.87,0.87,132000
2020-10-16,0.88,0.89,0.88,0.89,0.89,29900
2020-10-19,0.89,0.89,0.81,0.88,0.88,152800
2020-10-20,0.84,0.87,0.84,0.87,0.87,18400
2020-10-22,0.87,0.88,0.87,0.87,0.87,3000
2020-10-26,0.88,0.88,0.87,0.87,0.87,44200
2020-10-27,0.87,0.87,0.83,0.87,0.87,93500
2020-10-28,0.87,0.87,0.83,0.83,0.83,65100
2020-10-29,0.84,0.85,0.84,0.85,0.85,28900
2020-10-30,0.85,0.85,0.84,0.85,0.85,4100
2020-11-02,0.85,0.85,0.84,0.85,0.85,21900
2020-11-03,0.85,0.85,0.84,0.85,0.85,8200
2020-11-05,0.85,0.86,0.85,0.85,0.85,91500
2020-11-06,0.85,0.86,0.84,0.84,0.84,42600
2020-11-09,0.85,0.85,0.84,0.85,0.85,93500
2020-11-10,0.88,0.88,0.86,0.88,0.88,236700
2020-11-11,0.87,0.88,0.86,0.87,0.87,61800
2020-11-12,0.87,0.88,0.86,0.86,0.86,38700
2020-11-13,0.86,0.86,0.84,0.86,0.86,165300
2020-11-16,0.85,0.87,0.84,0.87,0.87,63500
2020-11-17,0.89,0.91,0.88,0.9,0.9,140000
2020-11-18,0.9,0.91,0.9,0.91,0.91,21000
2020-11-19,0.9,0.92,0.9,0.92,0.92,89800
2020-11-20,0.9,0.93,0.9,0.92,0.92,41100
2020-11-23,0.92,0.93,0.9,0.92,0.92,258400
2020-11-24,0.92,0.92,0.89,0.92,0.92,23600
2020-11-25,0.92,0.92,0.92,0.92,0.92,145200
2020-11-26,0.92,0.93,0.92,0.93,0.93,94800
2020-11-27,0.93,0.93,0.92,0.92,0.92,60000
2020-11-30,0.93,0.93,0.91,0.92,0.92,40400
2020-12-01,0.92,0.93,0.9,0.92,0.92,50800
2020-12-02,0.92,0.93,0.89,0.92,0.92,269400
2020-12-03,0.92,0.92,0.9,0.92,0.92,50200
2020-12-04,0.9,0.91,0.89,0.91,0.91,56100
2020-12-08,0.91,0.92,0.91,0.92,0.92,150600
2020-12-09,0.92,0.92,0.9,0.9,0.9,89500
2020-12-14,0.92,0.92,0.87,0.89,0.89,607700
2020-12-15,0.89,0.91,0.89,0.91,0.91,23100
2020-12-16,0.91,0.91,0.89,0.9,0.9,151600
2020-12-17,0.89,0.95,0.89,0.93,0.93,1560600
2020-12-18,0.93,0.93,0.91,0.91,0.91,289500
2020-12-21,0.87,0.88,0.85,0.86,0.86,1323200
2020-12-22,0.86,0.87,0.85,0.87,0.87,188300
2020-12-23,0.85,0.87,0.85,0.87,0.87,99700
2020-12-24,0.87,0.87,0.86,0.87,0.87,14500
2020-12-25,0.87,0.89,0.87,0.89,0.89,73900
2020-12-28,0.88,0.89,0.86,0.87,0.87,230200
2020-12-29,0.87,0.88,0.87,0.88,0.88,76300
2021-01-04,0.88,0.88,0.87,0.88,0.88,9200
2021-01-05,0.87,0.88,0.87,0.88,0.88,38900
2021-01-06,0.88,0.89,0.87,0.88,0.88,22200
2021-01-07,0.88,0.88,0.86,0.88,0.88,146500
2021-01-08,0.88,0.89,0.87,0.88,0.88,43000
2021-01-11,0.88,0.88,0.87,0.87,0.87,28200
2021-01-12,0.87,0.87,0.86,0.87,0.87,79300
2021-01-13,0.87,0.88,0.87,0.88,0.88,114500
2021-01-14,0.88,0.88,0.86,0.88,0.88,230500
2021-01-15,0.88,0.88,0.86,0.87,0.87,128100
2021-01-18,0.87,0.87,0.85,0.86,0.86,188500
2021-01-19,0.86,0.86,0.85,0.86,0.86,508000
2021-01-20,0.85,0.86,0.84,0.85,0.85,267500
2021-01-21,0.85,0.85,0.84,0.85,0.85,353300
2021-01-22,0.85,0.86,0.83,0.86,0.86,199300
2021-01-25,0.86,0.87,0.85,0.86,0.86,120100
2021-01-26,0.86,0.86,0.84,0.84,0.84,123700
2021-01-27,0.84,0.85,0.84,0.85,0.85,56200
2021-01-28,0.85,0.85,0.83,0.84,0.84,83700
2021-01-29,0.84,0.84,0.84,0.84,0.84,40000
2021-02-01,0.84,0.85,0.83,0.84,0.84,40600
2021-02-02,0.84,0.85,0.84,0.85,0.85,41100
2021-02-03,0.85,0.85,0.83,0.85,0.85,147900
2021-02-04,0.84,0.86,0.84,0.86,0.86,69600
2021-02-05,0.87,0.88,0.85,0.86,0.86,235000
2021-02-08,0.87,0.88,0.86,0.86,0.86,344900
2021-02-09,0.87,0.87,0.84,0.87,0.87,365700
2021-02-10,0.87,0.87,0.86,0.86,0.86,89600
2021-02-11,0.87,0.94,0.86,0.91,0.91,1732300
2021-02-15,0.92,1.18,0.92,1.18,1.18,29167500
2021-02-16,1.33,1.36,1.17,1.17,1.17,22710200
2021-02-17,1.15,1.34,1.12,1.24,1.24,13597800
2021-02-18,1.24,1.32,1.21,1.27,1.27,5947700
2021-02-19,1.27,1.32,1.25,1.25,1.25,1964300
2021-02-22,1.26,1.26,1.15,1.15,1.15,1530900
2021-02-23,1.15,1.28,1.15,1.28,1.28,2590700
2021-02-24,1.27,1.28,1.24,1.25,1.25,646600
2021-02-25,1.25,1.25,1.2,1.25,1.25,469300
2021-03-01,1.26,1.26,1.16,1.25,1.25,635900
2021-03-02,1.24,1.25,1.21,1.25,1.25,653100
2021-03-03,1.25,1.25,1.22,1.23,1.23,277700
2021-03-04,1.23,1.24,1.22,1.23,1.23,498400
2021-03-05,1.23,1.23,1.2,1.2,1.2,413900
2021-03-08,1.2,1.21,1.14,1.15,1.15,1294800
2021-03-09,1.15,1.17,1.14,1.16,1.16,250200
2021-03-10,1.16,1.23,1.15,1.2,1.2,1562000
2021-03-11,1.19,1.23,1.19,1.19,1.19,620700
2021-03-12,1.19,1.21,1.18,1.19,1.19,81700
2021-03-15,1.18,1.2,1.18,1.2,1.2,142600
2021-03-16,1.19,1.21,1.17,1.17,1.17,363800
2021-03-17,1.18,1.19,1.13,1.17,1.17,671000
2021-03-18,1.16,1.2,1.16,1.17,1.17,356300
2021-03-19,1.19,1.28,1.18,1.25,1.25,4707800
2021-03-22,1.26,1.26,1.21,1.22,1.22,663100
2021-03-23,1.22,1.29,1.21,1.24,1.24,1975500
2021-03-24,1.23,1.24,1.22,1.23,1.23,502600
2021-03-25,1.23,1.31,1.23,1.28,1.28,3985300
2021-03-26,1.28,1.29,1.24,1.26,1.26,697800
2021-03-29,1.25,1.35,1.24,1.24,1.24,7456800
2021-03-30,1.25,1.26,1.24,1.26,1.26,1085300
2021-03-31,1.26,1.26,1.24,1.25,1.25,2106900
2021-04-01,1.25,1.28,1.24,1.26,1.26,1567400
2021-04-02,1.27,1.43,1.26,1.39,1.39,37059100
2021-04-05,1.35,1.37,1.3,1.33,1.33,9575500
2021-04-07,1.31,1.34,1.28,1.31,1.31,2810500
2021-04-08,1.3,1.31,1.28,1.3,1.3,836800
2021-04-09,1.31,1.31,1.27,1.28,1.28,666100
2021-04-12,1.27,1.28,1.24,1.26,1.26,1031000
2021-04-16,1.26,1.26,1.23,1.25,1.25,862000
2021-04-19,1.25,1.26,1.22,1.25,1.25,290900
2021-04-20,1.25,1.26,1.23,1.25,1.25,571700
2021-04-21,1.25,1.29,1.25,1.26,1.26,363500
2021-04-22,1.28,1.38,1.26,1.3,1.3,12651700
2021-04-23,1.32,1.32,1.25,1.27,1.27,2310100
2021-04-26,1.26,1.27,1.25,1.27,1.27,248500
2021-04-27,1.27,1.3,1.24,1.27,1.27,1357200
2021-04-28,1.26,1.29,1.25,1.27,1.27,681000
2021-04-29,1.28,1.3,1.26,1.27,1.27,547700
2021-04-30,1.28,1.32,1.26,1.27,1.27,3103600
2021-05-05,1.28,1.29,1.25,1.25,1.25,637600
2021-05-06,1.27,1.27,1.24,1.26,1.26,267100
2021-05-07,1.26,1.29,1.26,1.28,1.28,214500
2021-05-10,1.29,1.3,1.26,1.29,1.29,171100
2021-05-11,1.29,1.6,1.28,1.58,1.58,109328500
2021-05-12,1.55,1.55,1.47,1.47,1.47,15550700
2021-05-13,1.45,1.5,1.26,1.44,1.44,6892800
2021-05-14,1.46,1.46,1.37,1.44,1.44,2741700
2021-05-17,1.39,1.42,1.34,1.36,1.36,1413500
2021-05-18,1.32,1.37,1.32,1.36,1.36,962700
2021-05-19,1.39,1.4,1.32,1.38,1.38,1673900
2021-05-20,1.36,1.4,1.33,1.4,1.4,985000
2021-05-21,1.4,1.51,1.4,1.43,1.43,18239600
