Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,9.65,9.7,9.65,9.7,9.7,0
2020-01-03,9.7,9.7,9.7,9.7,9.7,0
2020-01-06,9.7,9.75,9.65,9.75,9.75,0
2020-01-07,9.7,9.75,9.7,9.75,9.75,0
2020-01-08,9.75,9.75,9.75,9.75,9.75,0
2020-01-09,9.7,9.7,9.7,9.7,9.7,0
2020-01-10,9.75,9.75,9.75,9.75,9.75,0
2020-01-13,9.65,9.75,9.65,9.75,9.75,0
2020-01-14,9.65,9.7,9.65,9.7,9.7,0
2020-01-15,9.7,9.7,9.7,9.7,9.7,0
2020-01-17,9.7,9.75,9.65,9.75,9.75,0
2020-01-20,9.65,9.7,9.65,9.7,9.7,0
2020-01-21,9.7,9.7,9.7,9.7,9.7,0
2020-01-22,9.7,9.7,9.7,9.7,9.7,0
2020-01-23,9.7,9.7,9.7,9.7,9.7,0
2020-01-24,9.7,9.7,9.7,9.7,9.7,0
2020-01-27,9.7,9.7,9.7,9.7,9.7,0
2020-01-28,9.7,9.7,9.7,9.7,9.7,0
2020-01-29,9.7,9.7,9.7,9.7,9.7,0
2020-01-30,9.7,9.7,9.7,9.7,9.7,0
2020-01-31,9.7,9.75,9.7,9.75,9.75,0
2020-02-03,9.7,9.75,9.7,9.75,9.75,0
2020-02-04,9.75,9.75,9.7,9.75,9.75,0
2020-02-05,9.75,9.75,9.7,9.75,9.75,0
2020-02-06,9.75,9.75,9.7,9.75,9.75,0
2020-02-07,9.6,9.65,9.6,9.65,9.65,0
2020-02-11,9.65,9.65,9.65,9.65,9.65,0
2020-02-12,9.65,9.7,9.65,9.65,9.65,0
2020-02-13,9.65,9.65,9.65,9.65,9.65,0
2020-02-14,9.6,9.65,9.6,9.65,9.65,0
2020-02-17,9.6,9.65,9.6,9.65,9.65,0
2020-02-18,9.65,9.65,9.6,9.65,9.65,0
2020-02-19,9.65,9.65,9.55,9.65,9.65,0
2020-02-20,9.6,9.65,9.6,9.65,9.65,0
2020-02-21,9.65,9.65,9.6,9.65,9.65,0
2020-02-24,9.6,9.65,9.6,9.6,9.6,0
2020-02-25,9.6,9.6,9.6,9.6,9.6,0
2020-02-26,9.6,9.6,9.55,9.55,9.55,0
2020-02-27,9.5,9.55,9.5,9.5,9.5,0
2020-02-28,9.45,9.45,9.4,9.4,9.4,0
2020-03-02,9.4,9.4,9.2,9.3,9.3,0
2020-03-03,9.25,9.25,9.2,9.2,9.2,0
2020-03-04,9.2,9.4,9.2,9.4,9.4,0
2020-03-05,9.4,9.4,9.4,9.4,9.4,0
2020-03-06,9.4,9.4,9.35,9.4,9.4,0
2020-03-09,9.3,9.3,9.2,9.2,9.2,0
2020-03-10,9.15,9.35,9.15,9.35,9.35,0
2020-03-12,9.2,9.2,9.0,9.1,9.1,0
2020-03-13,8.75,9.15,8.6,9.15,9.15,0
2020-03-17,8.7,8.9,8.7,8.9,8.9,0
2020-03-18,9.0,9.0,9.0,9.0,9.0,0
2020-03-19,9.2,9.3,9.2,9.2,9.2,0
2020-03-20,9.2,9.2,9.2,9.2,9.2,0
2020-03-23,9.0,9.05,9.0,9.0,9.0,0
2020-03-24,9.0,9.0,9.0,9.0,9.0,0
2020-03-25,8.95,8.95,8.85,8.85,8.85,0
2020-03-26,8.3,8.45,8.2,8.35,8.35,0
2020-03-27,8.45,8.45,8.4,8.4,8.4,0
2020-03-30,8.4,8.4,8.3,8.4,8.4,0
2020-03-31,8.4,8.4,8.35,8.4,8.4,0
2020-04-01,8.5,8.5,8.3,8.3,8.3,0
2020-04-02,8.35,8.4,8.3,8.4,8.4,0
2020-04-03,8.3,8.3,8.25,8.3,8.3,0
2020-04-07,8.25,8.3,8.25,8.3,8.3,0
2020-04-08,8.3,8.3,8.15,8.15,8.15,0
2020-04-09,8.2,8.45,8.2,8.45,8.45,0
2020-04-10,8.4,8.4,8.25,8.25,8.25,0
2020-04-13,8.3,8.3,8.3,8.3,8.3,0
2020-04-14,8.3,8.5,8.3,8.5,8.5,0
2020-04-15,8.5,8.5,8.3,8.4,8.4,0
2020-04-17,8.4,8.45,8.4,8.4,8.4,0
2020-04-20,8.4,8.4,8.4,8.4,8.4,0
2020-04-21,8.4,8.4,8.4,8.4,8.4,0
2020-04-22,8.35,8.4,8.35,8.35,8.35,0
2020-04-23,8.35,8.35,8.35,8.35,8.35,0
2020-04-27,8.35,8.4,8.35,8.4,8.4,0
2020-04-28,8.4,8.4,8.35,8.35,8.35,0
2020-04-30,8.35,8.5,8.35,8.5,8.5,0
2020-05-05,8.35,8.5,8.35,8.45,8.45,0
2020-05-07,8.5,8.5,8.45,8.45,8.45,0
2020-05-08,8.4,8.4,8.4,8.4,8.4,0
2020-05-11,8.5,8.5,8.45,8.45,8.45,0
2020-05-14,8.4,8.45,8.4,8.45,8.45,0
2020-05-18,8.5,8.5,8.5,8.5,8.5,0
2020-05-19,8.65,8.65,8.55,8.55,8.55,0
2020-05-20,8.65,8.65,8.65,8.65,8.65,0
2020-05-21,8.65,8.65,8.6,8.6,8.6,0
2020-05-22,8.65,8.65,8.6,8.6,8.6,0
2020-05-25,8.6,8.65,8.6,8.65,8.65,0
